resurgent,city,state,period,medianfamilyincome,poppovertyrate,population,timezero
0,Bridgeport,CT,1900,,,70996,-50
0,Hartford,CT,1900,,,79850,-50
1,New Haven,CT,1900,,,108027,-50
0,Waterbury,CT,1900,,,45859,-110
1,Peoria,IL,1900,,,56100,-70
0,Rockford,IL,1900,,,31051,-110
1,Evansville,IN,1900,,,59007,-60
1,Fort Wayne,IN,1900,,,45115,-110
0,Gary,IN,1900,,,0,-60
0,South Bend,IN,1900,,,35999,-60
0,Springfield,MA,1900,,,62059,-60
1,Worcester,MA,1900,,,118421,-50
0,Flint,MI,1900,,,13103,-60
1,Grand Rapids,MI,1900,,,87565,-100
1,Greensboro,NC,1900,,,10035,-110
1,Winston-Salem,NC,1900,,,13650,-110
1,Jersey City,NJ,1900,,,206443,-30
0,Paterson,NJ,1900,,,105171,-100
0,Rochester,NY,1900,,,162608,-50
0,Syracuse,NY,1900,,,108374,-50
0,Akron,OH,1900,,,42728,-60
0,Dayton,OH,1900,,,85333,-60
0,Youngstown,OH,1900,,,44885,-30
0,Allentown,PA,1900,,,35416,-110
0,Erie,PA,1900,,,52733,-60
1,Providence,RI,1900,,,175597,-40
0,Bridgeport,CT,1910,,,102054,-40
0,Hartford,CT,1910,,,98915,-40
1,New Haven,CT,1910,,,133605,-40
0,Waterbury,CT,1910,,,73141,-100
1,Peoria,IL,1910,,,66950,-60
0,Rockford,IL,1910,,,45401,-100
1,Evansville,IN,1910,,,69647,-50
1,Fort Wayne,IN,1910,,,63933,-100
0,Gary,IN,1910,,,16802,-50
0,South Bend,IN,1910,,,53684,-50
0,Springfield,MA,1910,,,88926,-50
1,Worcester,MA,1910,,,145986,-40
0,Flint,MI,1910,,,38550,-50
1,Grand Rapids,MI,1910,,,112571,-90
1,Greensboro,NC,1910,,,15895,-100
1,Winston-Salem,NC,1910,,,22700,-100
1,Jersey City,NJ,1910,,,267779,-20
0,Paterson,NJ,1910,,,125600,-90
0,Rochester,NY,1910,,,218149,-40
0,Syracuse,NY,1910,,,137249,-40
0,Akron,OH,1910,,,69067,-50
0,Dayton,OH,1910,,,116577,-50
0,Youngstown,OH,1910,,,79066,-20
0,Allentown,PA,1910,,,51913,-100
0,Erie,PA,1910,,,66525,-50
1,Providence,RI,1910,,,224326,-30
0,Bridgeport,CT,1920,,,143555,-30
0,Hartford,CT,1920,,,138036,-30
1,New Haven,CT,1920,,,162537,-30
0,Waterbury,CT,1920,,,91715,-90
1,Peoria,IL,1920,,,76121,-50
0,Rockford,IL,1920,,,65651,-90
1,Evansville,IN,1920,,,85264,-40
1,Fort Wayne,IN,1920,,,86549,-90
0,Gary,IN,1920,,,55378,-40
0,South Bend,IN,1920,,,70983,-40
0,Springfield,MA,1920,,,129614,-40
1,Worcester,MA,1920,,,179754,-30
0,Flint,MI,1920,,,91599,-40
1,Grand Rapids,MI,1920,,,137634,-80
1,Greensboro,NC,1920,,,19861,-90
1,Winston-Salem,NC,1920,,,48395,-90
1,Jersey City,NJ,1920,,,298103,-10
0,Paterson,NJ,1920,,,135875,-80
0,Rochester,NY,1920,,,295750,-30
0,Syracuse,NY,1920,,,171717,-30
0,Akron,OH,1920,,,208435,-40
0,Dayton,OH,1920,,,152559,-40
0,Youngstown,OH,1920,,,132358,-10
0,Allentown,PA,1920,,,73502,-90
0,Erie,PA,1920,,,93372,-40
1,Providence,RI,1920,,,237595,-20
0,Bridgeport,CT,1930,,,146716,-20
0,Hartford,CT,1930,,,164072,-20
1,New Haven,CT,1930,,,162655,-20
0,Waterbury,CT,1930,,,99902,-80
1,Peoria,IL,1930,,,104969,-40
0,Rockford,IL,1930,,,85864,-80
1,Evansville,IN,1930,,,102249,-30
1,Fort Wayne,IN,1930,,,114946,-80
0,Gary,IN,1930,,,100426,-30
0,South Bend,IN,1930,,,104193,-30
0,Springfield,MA,1930,,,149900,-30
1,Worcester,MA,1930,,,195311,-20
0,Flint,MI,1930,,,156492,-30
1,Grand Rapids,MI,1930,,,168592,-70
1,Greensboro,NC,1930,,,53569,-80
1,Winston-Salem,NC,1930,,,75274,-80
1,Jersey City,NJ,1930,,,316715,0
0,Paterson,NJ,1930,,,135513,-70
0,Rochester,NY,1930,,,328132,-20
0,Syracuse,NY,1930,,,209326,-20
0,Akron,OH,1930,,,255040,-30
0,Dayton,OH,1930,,,200982,-30
